epoch,train_loss,val_loss,macro_dice,macro_iou,lr,Tumour_dice,Tumour_iou,Stroma_dice,Stroma_iou,Inflammatory_dice,Inflammatory_iou,Necrosis_dice,Necrosis_iou,Others_dice,Others_iou
1,0.3982644071871405,0.6793542930184031,0.6713752627224224,0.5249348742444034,9.984740801978984e-05,0.8476028568145983,0.7355128063505038,0.6942986529603162,0.531743843670259,0.7760069454284086,0.6339962000029634,0.6515204498867802,0.4831518949116268,0.387447408522009,0.24026962628666432
2,0.30518831825758425,0.7149668888378627,0.6741382002078191,0.5222119079107139,9.939057285945931e-05,0.84540669466486,0.7322116720739744,0.6889926185637347,0.5255444235629805,0.7428299494024385,0.5908746784489136,0.6342283504761131,0.4643736386658836,0.4592333879319491,0.2980551268018172
3,0.2765444879445015,0.6835374537153155,0.6927731648016543,0.5436809635548847,9.863231105968498e-05,0.844433423992048,0.7307527247017198,0.6897759505231483,0.5264564871928301,0.7646073737695765,0.6189185183196676,0.7024904594311969,0.5414144848008121,0.4625586162923023,0.3008626027593942
4,0.255968350876816,0.7600440389255498,0.6786188206784918,0.5288268491076068,9.75772975566101e-05,0.8424099931397588,0.727727423481002,0.6757670362264327,0.510308272572184,0.7820507872507442,0.6421045960409419,0.6427764058076227,0.4735965455935874,0.4500898809679006,0.29039740785031876
5,0.24527081657215893,0.7251832380777482,0.6769032195614326,0.5247175856125919,9.623203685930868e-05,0.8417283835415489,0.7267107054865337,0.7023107401996058,0.5412010116409783,0.7588335129027098,0.6113873688914934,0.5892270640567313,0.4176625798840997,0.4924163971065674,0.32662626215985396
6,0.23489052122146079,0.7045153776972554,0.6616659631656698,0.5089379975170728,9.46048229473242e-05,0.839074968789317,0.7227641288036305,0.6441298195189036,0.4750674723817219,0.7382308520088503,0.5850760047384107,0.6528202366058247,0.48458287033726327,0.4340739389054529,0.2771995113243374
7,0.22491907959779556,0.7239769387325793,0.6877424211758052,0.5382539117624028,9.270568813552755e-05,0.8477519744876454,0.735737406979445,0.6877670651932322,0.5241196489970044,0.7732368006362096,0.6303064854221391,0.6653074697728737,0.49847246066452283,0.46464879578906515,0.30263355674890213
8,0.2192074511842627,0.7374788353177116,0.6546612200851192,0.5015898509442149,9.054634122155989e-05,0.8434583238110462,0.7292934973086463,0.6591124120569241,0.491549342378509,0.753301795873405,0.6042374917842679,0.5312985831791884,0.3617471714089109,0.48613498550503204,0.3211217518407405
9,0.20934401917513557,0.7723331735205671,0.6851388141910675,0.5336878798758026,8.814009529720152e-05,0.8429949334418858,0.7286009005558176,0.6993214534677749,0.5376589437353718,0.7593153765057764,0.6120132079716322,0.6412348975246643,0.4719247619448661,0.4828274100152361,0.3182415851713251
10,0.2022353666550949,0.76673920554623,0.6902400475039574,0.5383943489549581,8.550178566873408e-05,0.8454620701816689,0.7322947547636688,0.689158656579991,0.5257376569936095,0.7587416255898249,0.6112680818370037,0.6541595297612667,0.48606023093155154,0.5036783554070352,0.33661102024895706
11,0.1983673397979583,0.7702559748395257,0.7028195244991191,0.5522018302974914,8.264767839234409e-05,0.8423773001187352,0.7276786298378014,0.717745890268192,0.5597532383174137,0.7772839956037486,0.6357028065462784,0.6434259439063612,0.4743021149609455,0.5332644925985583,0.363572361825018
12,0.19142010290436468,0.7749095060315458,0.6978581654712359,0.546744188650775,7.959536998847741e-05,0.8473730846226047,0.7351668378706532,0.708097518796786,0.548104465390684,0.7609392230890827,0.6141258260036027,0.6545662997572996,0.48650951707187323,0.5183147010904064,0.3498142969170621
13,0.18377742355325782,0.7728890382125029,0.6942701908218198,0.5446868931942609,7.636367895343945e-05,0.845369330866449,0.732155617779341,0.6972752408763243,0.5352437159061683,0.7707769502353453,0.6270440099401954,0.6794363906278598,0.5145048567186375,0.47849304150312105,0.3144862656269624
14,0.180322238746087,0.8598053764334596,0.6855047545615198,0.5368309126155626,7.297252973710755e-05,0.8432246760028748,0.7289442111275275,0.7107466800770667,0.5512855147191339,0.7728829339844461,0.6298363500835297,0.6563308576133462,0.4884616583867941,0.44433862512986544,0.2856268287608275
